module_category	original_path	new_path	file_type	action	reason
transforms	/data03/karama/soybean_gwas/reference/W82.a6.v1/Gmax_880_Wm82.a6.v1.readme.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/reference/W82.a6.v1/STAR_index/chrLength.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/reference/W82.a6.v1/STAR_index/chrName.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/reference/W82.a6.v1/STAR_index/chrNameLength.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/reference/W82.a6.v1/STAR_index/chrStart.txt		.txt	skip	data file
qc	/data03/karama/soybean_gwas/reference/W82.a6.v1/STAR_index/genomeParameters.txt		.txt	skip	data file
transforms	/data03/karama/soybean_gwas/reference/W82.a6.v1/annotation/Gmax_880_Wm82.a6.v1.annotation_info.txt		.txt	skip	data file
ld_analysis	/data03/karama/soybean_gwas/reference/W82.a6.v1/annotation/Gmax_880_Wm82.a6.v1.defline.txt		.txt	skip	data file
locus_merging	/data03/karama/soybean_gwas/reference/W82.a6.v1/annotation/Gmax_880_Wm82.a6.v1.locus_transcript_name_map.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas/reference/W82.a6.v1/annotation/Gmax_880_Wm82.a6.v1.synonym.txt		.txt	skip	data file
unknown	/data03/karama/soybean_gwas_filtered/data/samples/all_samples_original.txt		.txt	copy	configuration/template file
ld_analysis	/data03/karama/soybean_gwas_filtered/data/samples/wildtype_samples.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/data/samples/all_samples_filtered.txt		.txt	copy	configuration/template file
unknown	/data03/karama/soybean_gwas_filtered/samples/all_samples_original.txt		.txt	copy	configuration/template file
unknown	/data03/karama/soybean_gwas_filtered/samples/to_exclude.txt		.txt	skip	data file
qc	/data03/karama/soybean_gwas_filtered/samples/all_samples_filtered.txt		.txt	copy	configuration/template file
ld_analysis	/data03/karama/soybean_gwas_filtered/samples/wildtype_samples.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/samples/samples_after_qc.txt		.txt	copy	configuration/template file
ld_analysis	/data03/karama/soybean_gwas_filtered/samples/wild_only_samples.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/samples/wild_samples_after_qc.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas_filtered/samples/prepare_wild_pheno_from_long.py		.py	copy	reusable script
association	/data03/karama/soybean_gwas_filtered/workflow/fix_pheno.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/check_gemma_files.sh		.sh	copy	reusable script
transforms	/data03/karama/soybean_gwas_filtered/workflow/stacked_mahantton.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/LD_plot.py		.py	copy	reusable script
cross_trait	/data03/karama/soybean_gwas_filtered/workflow/ma_convert.py		.py	copy	reusable script
cross_trait	/data03/karama/soybean_gwas_filtered/workflow/trait_list_pure.txt		.txt	skip	data file (numeric table)
association	/data03/karama/soybean_gwas_filtered/workflow/convert_gemma_to_gsmr.py		.py	copy	reusable script
association	/data03/karama/soybean_gwas_filtered/workflow/convert.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/run_gsmr_analysis.sh		.sh	copy	reusable script
association	/data03/karama/soybean_gwas_filtered/workflow/visualize_gsmr.py		.py	copy	reusable script
transforms	/data03/karama/soybean_gwas_filtered/workflow/add_ratio_to_pheno.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/prepare_gwas_inputs_with_ratio.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/prepare_wild_pheno_from_long.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/clean_wild_all_missing.py		.py	copy	reusable script
association	/data03/karama/soybean_gwas_filtered/workflow/pretty_manhattan_qq.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/qc_gwas_summary_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/select_instruments_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/clump_instruments_wild.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/count_clumped_instruments_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/harmonize_pairs_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/1_select_clump_count_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/2_harmonize_pairs_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/3_prepare_gsmr_input_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/run_gsmr_wild.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/3_mr_ivw_egger_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/4_plot_mr_scatter_wild.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas_filtered/workflow/02_pca/subgroup_analysis.py		.py	copy	reusable script
covariates	/data03/karama/soybean_gwas_filtered/workflow/02_pca/pca_covariates.txt		.txt	skip	data file
covariates	/data03/karama/soybean_gwas_filtered/workflow/02_pca/pca_covariates_wild.txt		.txt	skip	data file (numeric table)
association	/data03/karama/soybean_gwas_filtered/workflow/03_gwas_input/sample_order_check.txt		.txt	copy	configuration/template file
